subject,layer,step,loss
The Eiffel Tower,6,0,6.73799
The Eiffel Tower,6,1,13.55097
The Eiffel Tower,6,2,8.18499
The Eiffel Tower,6,3,9.53626
The Eiffel Tower,6,4,11.17952
The Eiffel Tower,6,5,11.47967
The Eiffel Tower,6,6,10.0723
The Eiffel Tower,6,7,8.72428
The Eiffel Tower,6,8,8.25012
The Eiffel Tower,6,9,8.36023
The Eiffel Tower,6,10,7.9305
The Eiffel Tower,6,11,6.839
The Eiffel Tower,6,12,4.94446
The Eiffel Tower,6,13,4.33172
The Eiffel Tower,6,14,4.6949
The Eiffel Tower,6,15,4.46834
The Eiffel Tower,6,16,5.65096
The Eiffel Tower,6,17,4.55014
The Eiffel Tower,6,18,5.81597
The Eiffel Tower,6,19,6.95865
The Eiffel Tower,6,20,6.52876
The Eiffel Tower,6,21,6.00569
The Eiffel Tower,6,22,4.85109
The Eiffel Tower,6,23,3.78475
The Eiffel Tower,6,24,3.41054
Mount Everest,1,0,3.23098
Mount Everest,1,1,15.17401
Mount Everest,1,2,24.97312
Mount Everest,1,3,27.24521
Mount Everest,1,4,24.71804
Mount Everest,1,5,20.0698
Mount Everest,1,6,15.17358
Mount Everest,1,7,11.15915
Mount Everest,1,8,8.37497
Mount Everest,1,9,6.57264
Mount Everest,1,10,5.65382
Mount Everest,1,11,9.43969
Mount Everest,1,12,5.63315
Mount Everest,1,13,6.29477
Mount Everest,1,14,6.8381
Mount Everest,1,15,6.94899
Mount Everest,1,16,6.54166
Mount Everest,1,17,5.73107
Mount Everest,1,18,4.74221
Mount Everest,1,19,3.81052
Mount Everest,1,20,3.07484
Mount Everest,1,21,2.5969
Mount Everest,1,22,2.45364
Mount Everest,1,23,2.1264
Mount Everest,1,24,2.22906
The Mona Lisa,4,0,6.90568
The Mona Lisa,4,1,16.64507
The Mona Lisa,4,2,9.92589
The Mona Lisa,4,3,5.75464
The Mona Lisa,4,4,11.4201
The Mona Lisa,4,5,8.96527
The Mona Lisa,4,6,10.05534
The Mona Lisa,4,7,11.70564
The Mona Lisa,4,8,9.33543
The Mona Lisa,4,9,9.62209
The Mona Lisa,4,10,10.54504
The Mona Lisa,4,11,9.88016
The Mona Lisa,4,12,9.37695
The Mona Lisa,4,13,9.07917
The Mona Lisa,4,14,8.19535
The Mona Lisa,4,15,7.98181
The Mona Lisa,4,16,7.92036
The Mona Lisa,4,17,6.78498
The Mona Lisa,4,18,6.63151
The Mona Lisa,4,19,6.7264
The Mona Lisa,4,20,5.78839
The Mona Lisa,4,21,5.50562
The Mona Lisa,4,22,5.4174
The Mona Lisa,4,23,4.79159
The Mona Lisa,4,24,4.29044
