suite,component,type,layer,head,mean_drop
agreement,L0.H0,head,0,0.0,0.4331
agreement,L0.H1,head,0,1.0,-0.0024
agreement,L0.H2,head,0,2.0,0.5963
agreement,L0.H3,head,0,3.0,0.2251
agreement,L0.H4,head,0,4.0,1.2627
agreement,L0.H5,head,0,5.0,0.5273
agreement,L0.H6,head,0,6.0,-0.5558
agreement,L0.H7,head,0,7.0,0.938
agreement,L0.H8,head,0,8.0,0.3915
agreement,L0.H9,head,0,9.0,-0.1277
agreement,L0.H10,head,0,10.0,0.2571
agreement,L0.H11,head,0,11.0,-0.0022
agreement,L1.H0,head,1,0.0,0.1939
agreement,L1.H1,head,1,1.0,0.396
agreement,L1.H2,head,1,2.0,0.0578
agreement,L1.H3,head,1,3.0,0.0491
agreement,L1.H4,head,1,4.0,0.2203
agreement,L1.H5,head,1,5.0,0.1517
agreement,L1.H6,head,1,6.0,0.7589
agreement,L1.H7,head,1,7.0,-0.3749
agreement,L1.H8,head,1,8.0,-0.0643
agreement,L1.H9,head,1,9.0,0.0846
agreement,L1.H10,head,1,10.0,0.2106
agreement,L1.H11,head,1,11.0,0.1296
agreement,L2.H0,head,2,0.0,0.0898
agreement,L2.H1,head,2,1.0,-0.1924
agreement,L2.H2,head,2,2.0,-0.0584
agreement,L2.H3,head,2,3.0,0.2237
agreement,L2.H4,head,2,4.0,0.1279
agreement,L2.H5,head,2,5.0,0.0259
agreement,L2.H6,head,2,6.0,0.6162
agreement,L2.H7,head,2,7.0,0.1994
agreement,L2.H8,head,2,8.0,0.1908
agreement,L2.H9,head,2,9.0,0.1252
agreement,L2.H10,head,2,10.0,0.1786
agreement,L2.H11,head,2,11.0,0.0158
agreement,L3.H0,head,3,0.0,0.1028
agreement,L3.H1,head,3,1.0,0.4401
agreement,L3.H2,head,3,2.0,0.3752
agreement,L3.H3,head,3,3.0,-0.1396
agreement,L3.H4,head,3,4.0,-0.2519
agreement,L3.H5,head,3,5.0,0.0475
agreement,L3.H6,head,3,6.0,-0.07
agreement,L3.H7,head,3,7.0,-0.1157
agreement,L3.H8,head,3,8.0,-0.1188
agreement,L3.H9,head,3,9.0,-0.2574
agreement,L3.H10,head,3,10.0,-0.1062
agreement,L3.H11,head,3,11.0,-0.0391
agreement,L4.H0,head,4,0.0,-0.0002
agreement,L4.H1,head,4,1.0,0.5079
agreement,L4.H2,head,4,2.0,0.3893
agreement,L4.H3,head,4,3.0,-0.2478
agreement,L4.H4,head,4,4.0,0.0811
agreement,L4.H5,head,4,5.0,0.1757
agreement,L4.H6,head,4,6.0,-0.075
agreement,L4.H7,head,4,7.0,-0.0131
agreement,L4.H8,head,4,8.0,-0.0206
agreement,L4.H9,head,4,9.0,0.1069
agreement,L4.H10,head,4,10.0,-0.1114
agreement,L4.H11,head,4,11.0,-0.2702
agreement,L5.H0,head,5,0.0,-0.109
agreement,L5.H1,head,5,1.0,0.2746
agreement,L5.H2,head,5,2.0,0.0421
agreement,L5.H3,head,5,3.0,-0.1154
agreement,L5.H4,head,5,4.0,-0.1571
agreement,L5.H5,head,5,5.0,-0.1249
agreement,L5.H6,head,5,6.0,-0.0148
agreement,L5.H7,head,5,7.0,-0.0084
agreement,L5.H8,head,5,8.0,0.8851
agreement,L5.H9,head,5,9.0,-0.0047
agreement,L5.H10,head,5,10.0,-0.071
agreement,L5.H11,head,5,11.0,0.1175
agreement,L6.H0,head,6,0.0,-0.0154
agreement,L6.H1,head,6,1.0,-0.0742
agreement,L6.H2,head,6,2.0,-0.0268
agreement,L6.H3,head,6,3.0,-0.0506
agreement,L6.H4,head,6,4.0,2.2934
agreement,L6.H5,head,6,5.0,-0.024
agreement,L6.H6,head,6,6.0,-0.039
agreement,L6.H7,head,6,7.0,0.0322
agreement,L6.H8,head,6,8.0,-0.1208
agreement,L6.H9,head,6,9.0,-0.0108
agreement,L6.H10,head,6,10.0,-0.0759
agreement,L6.H11,head,6,11.0,-0.0282
agreement,L7.H0,head,7,0.0,-0.0068
agreement,L7.H1,head,7,1.0,0.0477
agreement,L7.H2,head,7,2.0,0.0018
agreement,L7.H3,head,7,3.0,0.0125
agreement,L7.H4,head,7,4.0,0.0136
agreement,L7.H5,head,7,5.0,-0.0163
agreement,L7.H6,head,7,6.0,-0.0084
agreement,L7.H7,head,7,7.0,-0.1377
agreement,L7.H8,head,7,8.0,-0.0313
agreement,L7.H9,head,7,9.0,-0.0038
agreement,L7.H10,head,7,10.0,0.0008
agreement,L7.H11,head,7,11.0,-0.1826
agreement,L8.H0,head,8,0.0,0.2608
agreement,L8.H1,head,8,1.0,-0.0035
agreement,L8.H2,head,8,2.0,-0.0029
agreement,L8.H3,head,8,3.0,-0.007
agreement,L8.H4,head,8,4.0,0.0231
agreement,L8.H5,head,8,5.0,0.0161
agreement,L8.H6,head,8,6.0,0.0012
agreement,L8.H7,head,8,7.0,-0.0513
agreement,L8.H8,head,8,8.0,-0.006
agreement,L8.H9,head,8,9.0,-0.0078
agreement,L8.H10,head,8,10.0,0.0118
agreement,L8.H11,head,8,11.0,-0.0031
agreement,L9.H0,head,9,0.0,-0.0015
agreement,L9.H1,head,9,1.0,0.0031
agreement,L9.H2,head,9,2.0,0.0017
agreement,L9.H3,head,9,3.0,0.2286
