model,step,suite,n,mean_logit_diff,accuracy
pythia-160m,0,agreement,20,0.016,0.5
pythia-160m,0,factual_recall,12,0.018,0.5
pythia-160m,0,induction,16,-0.02,0.438
pythia-160m,16,agreement,20,0.002,0.45
pythia-160m,16,factual_recall,12,0.077,0.583
pythia-160m,16,induction,16,-0.037,0.562
pythia-160m,128,agreement,20,0.006,0.5
pythia-160m,128,factual_recall,12,-0.403,0.417
pythia-160m,128,induction,16,0.015,0.5
pythia-160m,512,agreement,20,0.151,0.5
pythia-160m,512,factual_recall,12,-0.699,0.5
pythia-160m,512,induction,16,0.083,0.562
pythia-160m,1000,agreement,20,2.025,1.0
pythia-160m,1000,factual_recall,12,0.081,0.5
pythia-160m,1000,induction,16,0.254,0.562
pythia-160m,2000,agreement,20,3.533,1.0
pythia-160m,2000,factual_recall,12,0.419,0.75
pythia-160m,2000,induction,16,0.841,0.625
pythia-160m,4000,agreement,20,4.275,1.0
pythia-160m,4000,factual_recall,12,0.857,0.667
pythia-160m,4000,induction,16,1.131,0.625
pythia-160m,8000,agreement,20,4.3,1.0
pythia-160m,8000,factual_recall,12,1.859,0.917
pythia-160m,8000,induction,16,1.678,0.812
pythia-160m,16000,agreement,20,4.603,1.0
pythia-160m,16000,factual_recall,12,2.442,0.917
pythia-160m,16000,induction,16,1.409,0.812
pythia-160m,64000,agreement,20,5.112,1.0
pythia-160m,64000,factual_recall,12,2.898,0.917
pythia-160m,64000,induction,16,1.957,0.875
pythia-160m,143000,agreement,20,4.622,1.0
pythia-160m,143000,factual_recall,12,2.067,0.833
pythia-160m,143000,induction,16,1.733,0.812
