model,subject,layer,edit_kl_weight,delta_norm,resid_norm_at_layer,final_loss,efficacy,generalization,specificity,specificity_pred_preserved,fluency_before,fluency_after
gpt2,The Eiffel Tower,7,0.0625,1.33,105.41,5.4783,0.0,0.0,0.5,1.0,4.927,4.927
gpt2,The Eiffel Tower,7,0.01,17.38,105.41,4.1407,1.0,0.5,0.5,0.5,4.927,4.728
gpt2,The Eiffel Tower,7,0.001,26.308,105.41,0.7926,1.0,0.5,0.5,0.5,4.927,4.79
gpt2,The Eiffel Tower,7,0.0,112.967,105.41,0.0003,1.0,1.0,0.0,0.0,4.927,5.039
gpt2,Mount Everest,0,0.0625,5.481,54.81,6.405,0.0,0.0,0.5,1.0,4.835,4.808
gpt2,Mount Everest,0,0.01,14.472,54.81,2.6409,1.0,0.5,0.5,1.0,4.835,4.741
gpt2,Mount Everest,0,0.001,23.884,54.81,0.5604,1.0,0.5,0.5,1.0,4.835,4.76
gpt2,Mount Everest,0,0.0,101.177,54.81,0.0046,1.0,1.0,0.0,0.0,4.835,4.589
gpt2,The Mona Lisa,3,0.0625,1.457,64.7,7.2289,0.0,0.0,0.0,1.0,4.661,4.486
gpt2,The Mona Lisa,3,0.01,15.82,64.7,2.6037,0.0,0.0,0.0,1.0,4.661,4.836
gpt2,The Mona Lisa,3,0.001,18.569,64.7,0.411,1.0,0.0,0.0,1.0,4.661,4.331
gpt2,The Mona Lisa,3,0.0,85.385,64.7,0.0014,0.0,0.0,0.0,0.0,4.661,4.739
pythia-160m,The Eiffel Tower,6,0.0625,6.527,17.63,3.4105,0.0,0.0,0.5,0.5,4.514,4.578
pythia-160m,The Eiffel Tower,6,0.01,10.271,17.63,1.1433,1.0,0.0,0.0,0.0,4.514,4.839
pythia-160m,The Eiffel Tower,6,0.001,30.634,17.63,1.0998,1.0,1.0,0.0,0.0,4.514,4.247
pythia-160m,The Eiffel Tower,6,0.0,96.236,17.63,0.0033,1.0,0.5,0.0,0.0,4.514,4.67
pythia-160m,Mount Everest,1,0.0625,5.916,9.34,2.2291,1.0,0.0,0.5,1.0,4.405,4.561
pythia-160m,Mount Everest,1,0.01,12.241,9.34,1.71,1.0,0.5,0.5,0.5,4.405,4.383
pythia-160m,Mount Everest,1,0.001,58.189,9.34,3.6044,1.0,0.5,0.0,0.0,4.405,4.638
pythia-160m,Mount Everest,1,0.0,78.731,9.34,0.3457,1.0,0.5,0.0,0.0,4.405,4.556
pythia-160m,The Mona Lisa,4,0.0625,7.767,13.12,4.2904,1.0,0.0,0.0,1.0,4.352,4.432
pythia-160m,The Mona Lisa,4,0.01,12.022,13.12,1.8042,1.0,0.0,0.0,1.0,4.352,4.226
pythia-160m,The Mona Lisa,4,0.001,28.831,13.12,0.9409,0.0,0.0,0.0,0.0,4.352,4.86
pythia-160m,The Mona Lisa,4,0.0,75.174,13.12,0.0031,0.0,0.0,0.0,0.0,4.352,4.24
pythia-410m,The Eiffel Tower,9,0.0625,7.13,19.4,3.7461,1.0,0.5,0.5,1.0,4.977,4.962
pythia-410m,The Eiffel Tower,9,0.01,11.102,19.4,1.5654,1.0,1.0,1.0,0.5,4.977,4.917
pythia-410m,The Eiffel Tower,9,0.001,22.303,19.4,0.5891,1.0,1.0,0.0,0.0,4.977,4.615
pythia-410m,The Eiffel Tower,9,0.0,88.377,19.4,0.0038,1.0,1.0,0.0,0.0,4.977,4.092
pythia-410m,Mount Everest,8,0.0625,5.556,18.5,2.2164,1.0,0.5,1.0,1.0,4.855,4.979
pythia-410m,Mount Everest,8,0.01,9.574,18.5,0.9473,1.0,0.5,1.0,1.0,4.855,4.979
pythia-410m,Mount Everest,8,0.001,40.148,18.5,1.775,1.0,0.5,0.0,0.0,4.855,4.934
pythia-410m,Mount Everest,8,0.0,97.093,18.5,0.0042,1.0,0.5,0.0,0.0,4.855,4.636
pythia-410m,The Mona Lisa,7,0.0625,4.69,18.72,1.6538,1.0,0.5,0.0,1.0,4.581,4.381
pythia-410m,The Mona Lisa,7,0.01,8.429,18.72,0.7147,1.0,1.0,0.0,1.0,4.581,4.612
pythia-410m,The Mona Lisa,7,0.001,17.222,18.72,0.3602,1.0,0.5,0.0,1.0,4.581,4.684
pythia-410m,The Mona Lisa,7,0.0,86.746,18.72,0.0041,1.0,1.0,0.0,0.0,4.581,4.724
