subject,seed,window,layer,efficacy,generalization,specificity_pred_preserved
The Eiffel Tower,0,1,6,0.0,0.0,0.5
The Eiffel Tower,0,3,5,1.0,0.0,0.0
The Eiffel Tower,0,5,11,0.0,0.0,1.0
The Eiffel Tower,1,1,2,1.0,0.0,0.5
The Eiffel Tower,1,3,3,1.0,0.0,0.0
The Eiffel Tower,1,5,3,1.0,0.0,0.0
The Eiffel Tower,2,1,5,1.0,0.0,0.0
The Eiffel Tower,2,3,5,1.0,0.0,0.0
The Eiffel Tower,2,5,4,1.0,0.0,0.0
The Eiffel Tower,3,1,0,1.0,0.5,1.0
The Eiffel Tower,3,3,1,1.0,0.0,0.0
The Eiffel Tower,3,5,6,0.0,0.0,0.5
The Eiffel Tower,4,1,3,1.0,0.0,0.0
The Eiffel Tower,4,3,3,1.0,0.0,0.0
The Eiffel Tower,4,5,2,1.0,0.0,0.5
Mount Everest,0,1,1,1.0,0.0,1.0
Mount Everest,0,3,2,1.0,0.5,0.5
Mount Everest,0,5,2,1.0,0.5,0.5
Mount Everest,1,1,1,1.0,0.0,1.0
Mount Everest,1,3,2,1.0,0.5,0.5
Mount Everest,1,5,2,1.0,0.5,0.5
Mount Everest,2,1,1,1.0,0.0,1.0
Mount Everest,2,3,2,1.0,0.5,0.5
Mount Everest,2,5,2,1.0,0.5,0.5
Mount Everest,3,1,1,1.0,0.0,1.0
Mount Everest,3,3,2,1.0,0.5,0.5
Mount Everest,3,5,2,1.0,0.5,0.5
Mount Everest,4,1,1,1.0,0.0,1.0
Mount Everest,4,3,2,1.0,0.5,0.5
Mount Everest,4,5,3,1.0,0.5,1.0
The Mona Lisa,0,1,4,1.0,0.0,1.0
The Mona Lisa,0,3,3,0.0,0.0,1.0
The Mona Lisa,0,5,2,1.0,0.0,1.0
The Mona Lisa,1,1,4,1.0,0.0,1.0
The Mona Lisa,1,3,3,0.0,0.0,1.0
The Mona Lisa,1,5,3,0.0,0.0,1.0
The Mona Lisa,2,1,2,1.0,0.0,1.0
The Mona Lisa,2,3,2,1.0,0.0,1.0
The Mona Lisa,2,5,2,1.0,0.0,1.0
The Mona Lisa,3,1,4,1.0,0.0,1.0
The Mona Lisa,3,3,3,0.0,0.0,1.0
The Mona Lisa,3,5,2,1.0,0.0,1.0
The Mona Lisa,4,1,4,1.0,0.0,1.0
The Mona Lisa,4,3,3,0.0,0.0,1.0
The Mona Lisa,4,5,2,1.0,0.0,1.0
