subject,layer,trace_recovery,final_fit_loss,efficacy,generalization,specificity,specificity_pred_preserved,fluency_before,fluency_after
The Eiffel Tower,0,-0.1602,24.3402,1.0,0.5,0.0,1.0,4.514,4.235
The Eiffel Tower,1,-0.1395,8.4639,1.0,0.0,0.5,0.0,4.514,4.107
The Eiffel Tower,2,-0.2052,16.3586,1.0,0.0,0.5,0.5,4.514,4.605
The Eiffel Tower,3,-0.2048,8.5147,1.0,0.0,0.5,0.0,4.514,4.849
The Eiffel Tower,4,-0.0009,4.3586,1.0,0.0,0.0,0.0,4.514,4.241
The Eiffel Tower,5,0.0632,11.1695,1.0,0.0,0.0,0.0,4.514,4.641
The Eiffel Tower,6,0.0639,3.4105,0.0,0.0,0.5,0.5,4.514,4.578
The Eiffel Tower,7,-0.1242,4.8758,1.0,0.0,0.0,0.5,4.514,4.079
The Eiffel Tower,8,-0.1608,6.8136,1.0,0.0,0.5,0.5,4.514,4.701
The Eiffel Tower,9,0.0001,7.0354,0.0,0.0,0.5,0.5,4.514,4.492
The Eiffel Tower,10,0.0,7.1724,0.0,0.0,0.5,0.5,4.514,4.24
The Eiffel Tower,11,0.0,6.738,0.0,0.0,0.0,1.0,4.514,4.514
Mount Everest,0,0.7289,2.3464,1.0,0.5,0.5,1.0,4.405,4.258
Mount Everest,1,0.933,2.2291,1.0,0.0,0.5,1.0,4.405,4.561
Mount Everest,2,0.7506,2.6229,1.0,0.5,0.5,0.5,4.405,4.277
Mount Everest,3,0.8567,3.2431,1.0,0.5,0.5,1.0,4.405,4.417
Mount Everest,4,0.862,1.3437,1.0,0.5,0.5,0.5,4.405,4.268
Mount Everest,5,0.5536,1.6716,1.0,0.5,0.5,0.5,4.405,4.319
Mount Everest,6,0.6945,0.9273,1.0,0.5,0.5,1.0,4.405,4.417
Mount Everest,7,0.5566,1.0249,1.0,0.5,0.5,1.0,4.405,4.448
Mount Everest,8,0.3883,1.6095,1.0,0.5,0.5,1.0,4.405,4.292
Mount Everest,9,0.006,3.6153,0.0,0.0,0.5,0.5,4.405,4.236
Mount Everest,10,0.0,3.7545,0.0,0.0,0.5,0.5,4.405,4.171
Mount Everest,11,0.0,3.231,0.0,0.0,0.5,1.0,4.405,4.405
The Mona Lisa,0,0.4925,25.5208,0.0,0.0,0.0,1.0,4.352,4.575
The Mona Lisa,1,0.5363,18.1406,0.0,0.0,0.0,0.0,4.352,4.93
The Mona Lisa,2,0.6819,5.7412,1.0,0.0,0.0,1.0,4.352,4.522
The Mona Lisa,3,0.7167,5.5712,0.0,0.0,0.0,1.0,4.352,4.564
The Mona Lisa,4,0.7789,4.2904,1.0,0.0,0.0,1.0,4.352,4.432
The Mona Lisa,5,0.4847,3.8481,1.0,0.0,0.0,1.0,4.352,4.277
The Mona Lisa,6,0.3698,3.5078,1.0,0.0,0.0,1.0,4.352,4.563
The Mona Lisa,7,0.1812,11.0955,1.0,0.5,0.0,1.0,4.352,4.453
The Mona Lisa,8,0.0723,6.7639,0.0,0.0,0.0,1.0,4.352,4.44
The Mona Lisa,9,-0.0,7.0866,0.0,0.0,0.0,1.0,4.352,4.417
The Mona Lisa,10,0.0,7.023,0.0,0.0,0.0,1.0,4.352,4.247
The Mona Lisa,11,0.0,6.9057,0.0,0.0,0.0,1.0,4.352,4.352
