model,suite,layer,correct_logprob,incorrect_logprob,margin
pythia-160m,agreement,0,-22.8058,-22.7449,-0.0609
pythia-160m,agreement,1,-25.526,-25.6296,0.1036
pythia-160m,agreement,2,-24.9532,-25.0606,0.1074
pythia-160m,agreement,3,-28.5693,-29.5476,0.9783
pythia-160m,agreement,4,-21.4705,-22.6723,1.2018
pythia-160m,agreement,5,-16.2516,-19.813,3.5614
pythia-160m,agreement,6,-10.7817,-18.8574,8.0757
pythia-160m,agreement,7,-12.9161,-19.0903,6.1742
pythia-160m,agreement,8,-9.5846,-19.9036,10.319
pythia-160m,agreement,9,-7.1809,-19.4899,12.309
pythia-160m,agreement,10,-6.9584,-22.808,15.8496
pythia-160m,agreement,11,-2.288,-6.7967,4.5087
pythia-160m,factual_recall,0,-24.8276,-24.8784,0.0508
pythia-160m,factual_recall,1,-28.2024,-29.4468,1.2444
pythia-160m,factual_recall,2,-29.5327,-31.0516,1.5189
pythia-160m,factual_recall,3,-32.6154,-33.7076,1.0922
pythia-160m,factual_recall,4,-31.9788,-32.6847,0.7059
pythia-160m,factual_recall,5,-29.0617,-29.5288,0.4672
pythia-160m,factual_recall,6,-28.9136,-29.2437,0.3302
pythia-160m,factual_recall,7,-23.4198,-24.4816,1.0618
pythia-160m,factual_recall,8,-16.2956,-24.7781,8.4825
pythia-160m,factual_recall,9,-16.7552,-22.4103,5.6551
pythia-160m,factual_recall,10,-15.1609,-18.8824,3.7215
pythia-160m,factual_recall,11,-6.1713,-7.9894,1.8181
pythia-160m,induction,0,-28.643,-28.8056,0.1626
pythia-160m,induction,1,-24.8795,-24.8696,-0.0099
pythia-160m,induction,2,-21.852,-22.3015,0.4495
pythia-160m,induction,3,-23.0245,-23.565,0.5406
pythia-160m,induction,4,-17.7366,-18.8417,1.1051
pythia-160m,induction,5,-12.5713,-16.582,4.0107
pythia-160m,induction,6,-10.3978,-13.4641,3.0663
pythia-160m,induction,7,-9.4238,-12.3282,2.9044
pythia-160m,induction,8,-5.9456,-10.742,4.7965
pythia-160m,induction,9,-4.8279,-10.3401,5.5122
pythia-160m,induction,10,-2.6255,-9.1127,6.4872
pythia-160m,induction,11,-3.5493,-5.6679,2.1186
